product_id,name,category,price
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,6309
FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,Furniture,8258
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,10056
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,11959
OFF-ST-10000760,Eldon Fold N Roll Cart System,Office Supplies,14000
FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,Furniture,18947
OFF-AR-10002833,Newell 322,Office Supplies,12054
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,15368
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,13592
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,10254
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,13674
TEC-PH-10002033,Konftel 250 Conference phone Charcoal black,Technology,14590
OFF-PA-10002365,Xerox 1967,Office Supplies,13110
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,6072
OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,Office Supplies,14401
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,18970
OFF-ST-10004186,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,Office Supplies,16523
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,7409
OFF-AR-10003056,Newell 341,Office Supplies,18554
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,19003
OFF-BI-10002215,Wilson Jones Hanging View Binder  White  1,Office Supplies,9296
OFF-AR-10000246,Newell 318,Office Supplies,10003
OFF-AP-10001492,Acco Six-Outlet Power Strip  4 Cord Length,Office Supplies,9933
FUR-CH-10002774,Global Deluxe Stacking Chair  Gray,Furniture,2228
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,6931
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,5183
FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,Furniture,19760
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,2973
FUR-FU-10004848,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,Furniture,9994
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,1034
OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,Office Supplies,10399
OFF-BI-10001525,Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Office Supplies,14909
OFF-AR-10001683,Lumber Crayons,Office Supplies,15514
OFF-PA-10000249,Easy-staple paper,Office Supplies,3976
TEC-PH-10004977,GE 30524EE4,Technology,12571
FUR-FU-10003664,Electrix Architects Clamp-On Swing Arm Lamp  Black,Furniture,14792
OFF-EN-10002986,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,Office Supplies,8178
FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,Furniture,2558
FUR-CH-10004218,Global Fabric Managers Chair  Dark Gray,Furniture,3237
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,13502
TEC-PH-10004093,Panasonic Kx-TS550,Technology,12993
OFF-ST-10003479,Eldon Base for stackable storage shelf  platinum,Office Supplies,13852
OFF-ST-10003282,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,Office Supplies,3820
TEC-AC-10000171,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Technology,2278
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,13550
OFF-ST-10001713,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Office Supplies,14730
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,5092
TEC-PH-10003988,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Technology,11485
OFF-BI-10004410,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,Office Supplies,2554
OFF-LA-10002762,Avery 485,Office Supplies,6615
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,9392
FUR-CH-10003061,Global Leather Task Chair  Black,Furniture,15927
OFF-FA-10000304,Advantus Push Pins,Office Supplies,2872
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,10502
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,11371
OFF-PA-10001569,Xerox 232,Office Supplies,3617
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,17690
OFF-PA-10000587,Array Parchment Paper  Assorted Colors,Office Supplies,18126
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,15596
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,1805
