transaction_id,customer_id,product_id,date,quantity,amount
CA-2016-152156,CG-12520,FUR-BO-10001798,11/8/2016,2,261.96
CA-2016-152156,CG-12520,FUR-CH-10000454,11/8/2016,3,731.94
CA-2016-138688,DV-13045,OFF-LA-10000240,6/12/2016,2,14.62
US-2015-108966,SO-20335,FUR-TA-10000577,10/11/2015,5,957.5775
US-2015-108966,SO-20335,OFF-ST-10000760,10/11/2015,2,22.368
CA-2014-115812,BH-11710,FUR-FU-10001487,6/9/2014,7,48.86
CA-2014-115812,BH-11710,OFF-AR-10002833,6/9/2014,4,7.28
CA-2014-115812,BH-11710,TEC-PH-10002275,6/9/2014,6,907.152
CA-2014-115812,BH-11710,OFF-BI-10003910,6/9/2014,3,18.504
CA-2014-115812,BH-11710,OFF-AP-10002892,6/9/2014,5,114.9
CA-2014-115812,BH-11710,FUR-TA-10001539,6/9/2014,9,1706.184
CA-2014-115812,BH-11710,TEC-PH-10002033,6/9/2014,4,911.424
CA-2017-114412,AA-10480,OFF-PA-10002365,4/15/2017,3,15.552
CA-2016-161389,IM-15070,OFF-BI-10003656,12/5/2016,3,407.976
US-2015-118983,HP-14815,OFF-AP-10002311,11/22/2015,5,68.81
US-2015-118983,HP-14815,OFF-BI-10000756,11/22/2015,3,2.544
CA-2014-105893,PK-19075,OFF-ST-10004186,11/11/2014,6,665.88
CA-2014-167164,AG-10270,OFF-ST-10000107,5/13/2014,2,55.5
CA-2014-143336,ZD-21925,OFF-AR-10003056,8/27/2014,2,8.56
CA-2014-143336,ZD-21925,TEC-PH-10001949,8/27/2014,3,213.48
CA-2014-143336,ZD-21925,OFF-BI-10002215,8/27/2014,4,22.72
CA-2016-137330,KB-16585,OFF-AR-10000246,12/9/2016,7,19.46
CA-2016-137330,KB-16585,OFF-AP-10001492,12/9/2016,7,60.34
US-2017-156909,SF-20065,FUR-CH-10002774,7/16/2017,2,71.372
CA-2015-106320,EB-13870,FUR-TA-10000577,9/25/2015,3,1044.63
CA-2016-121755,EH-13945,OFF-BI-10001634,1/16/2016,2,11.648
CA-2016-121755,EH-13945,TEC-AC-10003027,1/16/2016,3,90.57
US-2015-150630,TB-21520,FUR-BO-10004834,9/17/2015,7,3083.43
US-2015-150630,TB-21520,OFF-BI-10000474,9/17/2015,2,9.618
US-2015-150630,TB-21520,FUR-FU-10004848,9/17/2015,3,124.2
US-2015-150630,TB-21520,OFF-EN-10001509,9/17/2015,2,3.264
US-2015-150630,TB-21520,OFF-AR-10004042,9/17/2015,6,86.304
US-2015-150630,TB-21520,OFF-BI-10001525,9/17/2015,6,6.858
US-2015-150630,TB-21520,OFF-AR-10001683,9/17/2015,2,15.76
CA-2017-107727,MA-17560,OFF-PA-10000249,10/19/2017,3,29.472
CA-2016-117590,GH-14485,TEC-PH-10004977,12/8/2016,7,1097.544
CA-2016-117590,GH-14485,FUR-FU-10003664,12/8/2016,5,190.92
CA-2015-117415,SN-20710,OFF-EN-10002986,12/27/2015,9,113.328
CA-2015-117415,SN-20710,FUR-BO-10002545,12/27/2015,3,532.3992
CA-2015-117415,SN-20710,FUR-CH-10004218,12/27/2015,3,212.058
CA-2015-117415,SN-20710,TEC-PH-10000486,12/27/2015,4,371.168
CA-2017-120999,LC-16930,TEC-PH-10004093,9/10/2017,4,147.168
CA-2016-101343,RA-19885,OFF-ST-10003479,7/17/2016,2,77.88
CA-2017-139619,ES-14080,OFF-ST-10003282,9/19/2017,2,95.616
CA-2016-118255,ON-18715,TEC-AC-10000171,3/11/2016,2,45.98
CA-2016-118255,ON-18715,OFF-BI-10003291,3/11/2016,2,17.46
CA-2014-146703,PO-18865,OFF-ST-10001713,10/20/2014,4,211.96
CA-2016-169194,LH-16900,TEC-AC-10002167,6/20/2016,3,45
CA-2016-169194,LH-16900,TEC-PH-10003988,6/20/2016,2,21.8
CA-2015-115742,DP-13000,OFF-BI-10004410,4/18/2015,6,38.22
CA-2015-115742,DP-13000,OFF-LA-10002762,4/18/2015,6,75.18
CA-2015-115742,DP-13000,FUR-FU-10001706,4/18/2015,2,6.16
CA-2015-115742,DP-13000,FUR-CH-10003061,4/18/2015,1,89.99
CA-2016-105816,JM-15265,OFF-FA-10000304,12/11/2016,7,15.26
CA-2016-105816,JM-15265,TEC-PH-10002447,12/11/2016,5,1029.95
CA-2016-111682,TB-21055,OFF-ST-10000604,6/17/2016,6,208.56
CA-2016-111682,TB-21055,OFF-PA-10001569,6/17/2016,5,32.4
CA-2016-111682,TB-21055,FUR-CH-10003968,6/17/2016,5,319.41
CA-2016-111682,TB-21055,OFF-PA-10000587,6/17/2016,2,14.56
CA-2016-111682,TB-21055,TEC-AC-10002167,6/17/2016,2,30
CA-2016-111682,TB-21055,OFF-BI-10001460,6/17/2016,4,48.48
CA-2016-111682,TB-21055,OFF-AR-10001868,6/17/2016,1,1.68
CA-2015-135545,KM-16720,TEC-AC-10004633,11/24/2015,2,13.98
CA-2015-135545,KM-16720,OFF-BI-10001078,11/24/2015,6,25.824
CA-2015-135545,KM-16720,OFF-PA-10003892,11/24/2015,3,146.73
CA-2015-135545,KM-16720,FUR-FU-10000397,11/24/2015,4,79.76
US-2015-164175,PS-18970,FUR-CH-10001146,4/30/2015,5,213.115
CA-2014-106376,BS-11590,OFF-AR-10002671,12/5/2014,8,1113.024
CA-2014-106376,BS-11590,TEC-PH-10002726,12/5/2014,4,167.968
CA-2016-119823,KD-16270,OFF-PA-10000482,6/4/2016,2,75.88
CA-2016-106075,HM-14980,OFF-BI-10004654,9/18/2016,1,4.616
CA-2017-114440,TB-21520,OFF-PA-10004675,9/14/2017,3,19.05
US-2015-134026,JE-15745,FUR-CH-10000513,4/26/2015,8,831.936
US-2015-134026,JE-15745,FUR-FU-10003708,4/26/2015,2,97.04
US-2015-134026,JE-15745,OFF-ST-10004123,4/26/2015,1,72.784
US-2017-118038,KB-16600,OFF-BI-10004182,12/9/2017,3,1.248
US-2017-118038,KB-16600,FUR-FU-10000260,12/9/2017,3,9.708
US-2017-118038,KB-16600,OFF-ST-10000615,12/9/2017,3,27.24
US-2014-147606,JE-15745,FUR-FU-10003194,11/26/2014,5,19.3
CA-2016-127208,SC-20770,OFF-AP-10002118,6/12/2016,1,208.16
CA-2016-127208,SC-20770,OFF-BI-10002309,6/12/2016,3,16.74
CA-2014-139451,DN-13690,OFF-AR-10002053,10/12/2014,5,14.9
CA-2014-139451,DN-13690,OFF-ST-10002370,10/12/2014,1,21.39
CA-2015-149734,JC-16105,OFF-EN-10000927,9/3/2015,7,200.984
US-2017-119662,CS-12400,OFF-ST-10003656,11/13/2017,3,230.376
CA-2017-140088,PO-18865,FUR-CH-10000863,5/28/2017,2,301.96
CA-2017-155558,PG-18895,TEC-AC-10001998,10/26/2017,1,19.99
CA-2017-155558,PG-18895,OFF-LA-10000134,10/26/2017,2,6.16
CA-2016-159695,GM-14455,OFF-ST-10003442,4/5/2016,7,158.368
CA-2016-109806,JS-15685,OFF-AR-10004930,9/17/2016,3,20.1
CA-2016-109806,JS-15685,TEC-PH-10004093,9/17/2016,2,73.584
CA-2016-109806,JS-15685,OFF-PA-10000304,9/17/2016,1,6.48
CA-2015-149587,KB-16315,OFF-PA-10003177,1/31/2015,2,12.96
CA-2015-149587,KB-16315,FUR-FU-10003799,1/31/2015,3,53.34
CA-2015-149587,KB-16315,OFF-BI-10002852,1/31/2015,2,32.96
US-2017-109484,RB-19705,OFF-BI-10004738,11/6/2017,1,5.682
CA-2017-161018,PN-18775,FUR-FU-10000629,11/9/2017,7,96.53
CA-2017-157833,KD-16345,OFF-BI-10001721,6/17/2017,3,51.312
CA-2016-149223,ER-13855,OFF-AP-10000358,9/6/2016,6,77.88
CA-2016-158568,RB-19465,OFF-PA-10003256,8/29/2016,7,64.624
CA-2016-158568,RB-19465,TEC-AC-10001767,8/29/2016,3,95.976
CA-2016-158568,RB-19465,OFF-BI-10002609,8/29/2016,3,1.788
CA-2016-129903,GZ-14470,OFF-PA-10004040,12/1/2016,4,23.92
US-2015-156867,LC-16870,TEC-AC-10001552,11/13/2015,6,238.896
US-2015-156867,LC-16870,FUR-FU-10004006,11/13/2015,3,102.36
US-2015-156867,LC-16870,OFF-BI-10002794,11/13/2015,3,36.882
CA-2017-119004,JM-15250,TEC-AC-10003499,11/23/2017,8,74.112
CA-2017-119004,JM-15250,TEC-PH-10002844,11/23/2017,1,27.992
CA-2017-119004,JM-15250,OFF-AR-10000390,11/23/2017,1,3.304
CA-2015-129476,PA-19060,TEC-AC-10000844,10/15/2015,5,339.96
CA-2017-146780,CV-12805,FUR-FU-10001934,12/25/2017,2,41.96
CA-2016-128867,CL-12565,OFF-AR-10000380,11/3/2016,2,75.96
CA-2016-128867,CL-12565,OFF-BI-10003981,11/3/2016,6,27.24
CA-2014-115259,RC-19960,OFF-FA-10000621,8/25/2014,14,40.096
CA-2014-115259,RC-19960,OFF-EN-10002600,8/25/2014,2,4.72
CA-2014-115259,RC-19960,OFF-PA-10004965,8/25/2014,3,23.976
CA-2014-115259,RC-19960,OFF-EN-10002504,8/25/2014,6,130.464
CA-2015-110457,DK-13090,FUR-TA-10001768,3/2/2015,3,787.53
US-2015-136476,GG-14650,OFF-BI-10003650,4/5/2015,1,157.794
CA-2016-103730,SC-20725,FUR-FU-10002157,6/12/2016,3,47.04
CA-2016-103730,SC-20725,OFF-BI-10003910,6/12/2016,4,30.84
CA-2016-103730,SC-20725,OFF-ST-10000777,6/12/2016,6,226.56
CA-2016-103730,SC-20725,OFF-EN-10002500,6/12/2016,9,115.02
CA-2016-103730,SC-20725,TEC-PH-10003875,6/12/2016,7,68.04
US-2014-152030,AD-10180,FUR-CH-10004063,12/26/2014,3,600.558
US-2014-134614,PF-19165,FUR-TA-10004534,9/20/2014,6,617.7
US-2017-107272,TS-21610,OFF-BI-10003274,11/5/2017,2,2.388
US-2017-107272,TS-21610,OFF-ST-10002974,11/5/2017,7,243.992
US-2016-125969,LS-16975,FUR-CH-10001146,11/6/2016,2,81.424
US-2016-125969,LS-16975,FUR-FU-10003773,11/6/2016,3,238.56
US-2017-164147,DW-13585,TEC-PH-10002293,2/2/2017,5,59.97
US-2017-164147,DW-13585,OFF-PA-10002377,2/2/2017,2,78.304
US-2017-164147,DW-13585,OFF-FA-10002780,2/2/2017,9,21.456
CA-2016-145583,LC-16885,OFF-PA-10001804,10/13/2016,3,20.04
CA-2016-145583,LC-16885,OFF-PA-10001736,10/13/2016,1,35.44
CA-2016-145583,LC-16885,OFF-AR-10001149,10/13/2016,4,11.52
CA-2016-145583,LC-16885,OFF-FA-10002988,10/13/2016,2,4.02
CA-2016-145583,LC-16885,OFF-BI-10004781,10/13/2016,3,76.176
CA-2016-145583,LC-16885,OFF-SU-10001218,10/13/2016,6,65.88
CA-2016-145583,LC-16885,FUR-FU-10001706,10/13/2016,14,43.12
CA-2016-110366,JD-15895,FUR-FU-10004848,9/5/2016,2,82.8
CA-2017-106180,SH-19975,OFF-AR-10000940,9/18/2017,3,8.82
CA-2017-106180,SH-19975,OFF-EN-10004030,9/18/2017,3,10.86
CA-2017-106180,SH-19975,OFF-PA-10004327,9/18/2017,3,143.7
CA-2017-155376,SG-20080,OFF-AP-10001058,12/22/2017,3,839.43
CA-2015-110744,HA-14920,OFF-ST-10003656,9/7/2015,7,671.93
CA-2014-110072,MG-17680,FUR-FU-10000521,10/22/2014,4,93.888
CA-2016-114489,JE-16165,TEC-PH-10000215,12/5/2016,11,384.45
CA-2016-114489,JE-16165,TEC-PH-10001448,12/5/2016,3,149.97
CA-2016-114489,JE-16165,FUR-CH-10000454,12/5/2016,8,1951.84
CA-2016-114489,JE-16165,OFF-BI-10002735,12/5/2016,5,171.55
CA-2016-158834,TW-21025,OFF-AP-10000326,3/13/2016,5,157.92
CA-2016-158834,TW-21025,TEC-PH-10001254,3/13/2016,2,203.184
CA-2015-124919,SP-20650,OFF-PA-10001950,5/31/2015,7,58.38
CA-2015-124919,SP-20650,OFF-PA-10002254,5/31/2015,4,105.52
CA-2015-124919,SP-20650,OFF-ST-10001590,5/31/2015,6,80.88
CA-2015-118948,NK-18490,OFF-AR-10001547,5/28/2015,3,6.63
CA-2014-104269,DB-13060,FUR-CH-10004063,3/1/2014,2,457.568
CA-2016-114104,NP-18670,OFF-LA-10002475,11/20/2016,2,14.62
CA-2016-114104,NP-18670,TEC-PH-10004536,11/20/2016,7,944.93
CA-2016-162733,TT-21070,OFF-PA-10002751,5/11/2016,1,5.98
CA-2015-119697,EM-13960,TEC-AC-10003657,12/28/2015,2,54.384
CA-2016-154508,RD-19900,OFF-EN-10001990,11/16/2016,5,28.4
CA-2016-113817,MJ-17740,OFF-BI-10004002,11/7/2016,2,27.68
CA-2014-139892,BM-11140,OFF-AR-10004441,9/8/2014,3,9.936
CA-2014-139892,BM-11140,TEC-MA-10000822,9/8/2014,8,8159.952
CA-2014-139892,BM-11140,OFF-ST-10000991,9/8/2014,3,275.928
CA-2014-139892,BM-11140,FUR-CH-10004287,9/8/2014,9,1740.06
CA-2014-139892,BM-11140,OFF-AR-10002656,9/8/2014,6,32.064
CA-2014-139892,BM-11140,OFF-AP-10002518,9/8/2014,5,177.98
CA-2014-139892,BM-11140,TEC-PH-10003931,9/8/2014,3,143.976
CA-2014-118962,CS-12130,OFF-PA-10000659,8/5/2014,3,20.94
CA-2014-118962,CS-12130,OFF-PA-10001144,8/5/2014,2,110.96
CA-2014-118962,CS-12130,FUR-CH-10003817,8/5/2014,7,340.144
US-2014-100853,JB-15400,OFF-AP-10000891,9/14/2014,2,52.448
US-2014-100853,JB-15400,OFF-LA-10003148,9/14/2014,4,20.16
US-2017-152366,SJ-20500,OFF-AP-10002684,4/21/2017,4,97.264
US-2015-101511,JE-15745,FUR-CH-10004698,11/21/2015,7,396.802
US-2015-101511,JE-15745,OFF-SU-10002189,11/21/2015,5,15.88
CA-2015-137225,JK-15640,OFF-AR-10001940,12/15/2015,1,3.28
CA-2014-166191,DK-13150,OFF-ST-10003455,12/5/2014,2,24.816
CA-2014-166191,DK-13150,TEC-AC-10004659,12/5/2014,7,408.744
CA-2014-158274,RM-19675,TEC-PH-10003273,11/19/2014,4,503.96
CA-2014-158274,RM-19675,TEC-PH-10004896,11/19/2014,5,149.95
CA-2014-158274,RM-19675,TEC-AC-10002345,11/19/2014,2,29
CA-2016-105018,SK-19990,OFF-BI-10001890,11/28/2016,2,7.16
CA-2014-123260,FM-14290,TEC-AC-10002323,8/26/2014,8,176.8
CA-2016-157000,AM-10360,OFF-ST-10001328,7/16/2016,3,37.224
CA-2016-157000,AM-10360,OFF-PA-10001950,7/16/2016,3,20.016
CA-2015-102281,MP-17470,FUR-BO-10002613,10/12/2015,4,899.136
CA-2015-102281,MP-17470,TEC-PH-10001552,10/12/2015,6,71.76
CA-2015-102281,MP-17470,OFF-PA-10000061,10/12/2015,8,51.84
CA-2015-102281,MP-17470,FUR-BO-10002545,10/12/2015,3,626.352
CA-2015-102281,MP-17470,OFF-AR-10003514,10/12/2015,5,19.9
CA-2015-131457,MZ-17515,OFF-EN-10001509,10/31/2015,7,14.28
CA-2014-140004,CB-12025,OFF-AR-10004685,3/21/2014,2,7.408
CA-2014-140004,CB-12025,OFF-AR-10004027,3/21/2014,3,6.048
CA-2017-107720,VM-21685,OFF-ST-10001414,11/6/2017,3,46.26
US-2017-124303,FH-14365,OFF-BI-10000343,7/6/2017,2,2.946
US-2017-124303,FH-14365,OFF-PA-10002749,7/6/2017,3,16.056
CA-2017-105074,MB-17305,OFF-PA-10002666,6/24/2017,3,21.744
CA-2014-133690,BS-11755,FUR-TA-10004289,8/3/2014,2,218.75
CA-2014-133690,BS-11755,OFF-AP-10003622,8/3/2014,1,2.6
US-2017-116701,LC-17140,OFF-AP-10003217,12/17/2017,2,66.284
CA-2017-126382,HK-14890,FUR-FU-10002960,6/3/2017,7,35.168
CA-2017-108329,LE-16810,TEC-PH-10001918,12/9/2017,4,444.768
CA-2017-135860,JH-15985,OFF-ST-10000642,12/1/2017,4,83.92
CA-2017-135860,JH-15985,TEC-PH-10001700,12/1/2017,2,131.98
