product_id,stock_count
OFF-ST-10003208,489
OFF-AR-10001427,436
OFF-PA-10000673,341
OFF-ST-10000876,497
OFF-BI-10004967,428
TEC-PH-10001760,312
FUR-TA-10002903,385
OFF-PA-10000474,159
TEC-AC-10001956,390
OFF-PA-10004100,289
OFF-BI-10000778,469
OFF-LA-10004689,131
FUR-FU-10004091,133
FUR-CH-10001891,394
OFF-BI-10004593,365
OFF-FA-10004854,187
OFF-PA-10002105,211
FUR-FU-10001861,373
OFF-AR-10003651,378
FUR-CH-10004086,112
FUR-FU-10001756,394
OFF-LA-10000634,298
FUR-FU-10001588,289
TEC-PH-10002398,492
OFF-PA-10001937,254
FUR-CH-10002602,405
FUR-CH-10003312,377
OFF-BI-10001153,340
OFF-BI-10001982,204
OFF-BI-10001922,446
TEC-CO-10001449,468
OFF-BI-10004140,303
OFF-FA-10000490,178
OFF-AR-10000122,382
TEC-PH-10000702,367
OFF-AR-10001374,217
OFF-PA-10001970,382
OFF-BI-10002160,447
FUR-BO-10002268,443
OFF-EN-10001137,292
OFF-PA-10002713,410
OFF-LA-10001158,444
OFF-BI-10002412,410
OFF-AR-10000658,423
TEC-AC-10002076,369
FUR-TA-10004915,366
OFF-PA-10004734,261
OFF-BI-10002225,491
FUR-TA-10000617,126
FUR-FU-10001935,279
OFF-AR-10004757,356
TEC-PH-10003012,349
TEC-CO-10002313,350
OFF-PA-10002552,209
OFF-SU-10002573,305
OFF-ST-10000934,247
TEC-AC-10000158,317
OFF-PA-10001947,408
OFF-AP-10004249,328
OFF-PA-10003724,374
FUR-TA-10002041,492
OFF-PA-10000157,333
OFF-PA-10003845,224
OFF-AR-10001573,387
TEC-AC-10004114,244
OFF-ST-10000918,248
FUR-CH-10000015,349
FUR-FU-10003347,386
OFF-BI-10001543,272
OFF-AR-10000369,214
OFF-BI-10004584,178
OFF-ST-10000617,390
OFF-ST-10003306,398
FUR-FU-10000246,192
OFF-PA-10002222,141
FUR-FU-10000206,156
OFF-AR-10000588,244
OFF-AR-10001953,496
FUR-CH-10000225,328
FUR-CH-10002331,474
FUR-TA-10001889,173
OFF-BI-10000315,240
OFF-SU-10003505,262
FUR-BO-10002824,386
OFF-PA-10004071,142
OFF-ST-10002743,361
OFF-PA-10003465,441
TEC-PH-10000149,434
OFF-AR-10003045,468
OFF-ST-10000689,249
OFF-LA-10003923,276
TEC-PH-10001363,291
OFF-ST-10001809,455
OFF-EN-10003845,239
TEC-AC-10000991,121
FUR-TA-10001857,182
OFF-EN-10001434,414
OFF-BI-10002498,168
FUR-FU-10000073,332
OFF-BI-10001658,215
OFF-BI-10000831,264
OFF-PA-10000357,132
OFF-AR-10003856,129
OFF-BI-10003527,186
OFF-AR-10003811,294
OFF-AR-10001246,440
OFF-ST-10004507,127
OFF-PA-10001667,310
TEC-PH-10003555,115
FUR-CH-10003379,262
OFF-SU-10002881,255
FUR-CH-10000595,343
FUR-FU-10000448,325
OFF-BI-10002429,249
OFF-BI-10004528,371
TEC-PH-10002262,207
OFF-BI-10000404,197
OFF-PA-10002986,394
OFF-SU-10001935,379
FUR-FU-10003039,238
OFF-FA-10004248,449
OFF-AR-10003560,197
OFF-PA-10003441,298
OFF-FA-10003467,153
OFF-BI-10001107,167
OFF-PA-10004451,317
TEC-PH-10000347,169
OFF-SU-10001574,133
OFF-LA-10003930,344
OFF-PA-10004101,392
TEC-PH-10001425,170
TEC-PH-10003963,120
OFF-PA-10002120,282
OFF-BI-10000848,462
TEC-PH-10003092,348
OFF-BI-10002949,361
FUR-FU-10003849,230
FUR-FU-10000010,139
TEC-PH-10002538,159
OFF-BI-10002103,139
OFF-AP-10000179,411
FUR-FU-10000221,136
OFF-AP-10001563,338
OFF-BI-10000605,240
OFF-ST-10001963,357
TEC-PH-10002103,200
FUR-CH-10001482,429
OFF-AP-10003287,261
OFF-ST-10000585,148
OFF-PA-10001934,165
OFF-FA-10003112,373
OFF-ST-10001511,125
TEC-PH-10004042,439
FUR-FU-10003096,319
OFF-AR-10001954,264
OFF-PA-10002137,155
TEC-AC-10003614,217
FUR-FU-10003553,469
OFF-BI-10004632,144
OFF-ST-10002583,194
TEC-MA-10004125,204
OFF-LA-10001934,399
OFF-ST-10002444,157
OFF-LA-10003510,363
OFF-BI-10001575,356
FUR-TA-10002774,432
OFF-PA-10001800,208
FUR-BO-10003272,220
OFF-EN-10001219,350
OFF-AP-10001154,105
FUR-FU-10002253,499
OFF-PA-10004092,384
FUR-FU-10000222,108
OFF-EN-10001141,156
TEC-PH-10002170,304
OFF-ST-10004634,446
FUR-BO-10001619,168
OFF-BI-10000546,239
TEC-CO-10002095,260
OFF-LA-10004484,112
OFF-EN-10001532,473
OFF-BI-10004187,469
OFF-ST-10000025,247
OFF-AR-10004648,214
FUR-CH-10002335,125
FUR-BO-10004409,291
TEC-AC-10000057,137
OFF-LA-10001569,189
OFF-LA-10002271,298
FUR-FU-10004090,454
OFF-AP-10000576,256
FUR-FU-10000794,458
TEC-PH-10001795,158
OFF-AR-10003190,410
TEC-AC-10001838,414
FUR-CH-10001394,102
TEC-AC-10002402,351
OFF-FA-10002280,241
OFF-SU-10000381,220
FUR-CH-10000665,462
OFF-AP-10003884,290
TEC-PH-10001557,364
TEC-PH-10002085,277
OFF-AP-10003266,408
OFF-BI-10001071,131
OFF-AR-10002578,389
OFF-BI-10001636,261
OFF-SU-10002503,297
OFF-SU-10002537,386
OFF-ST-10003221,269
OFF-AR-10003752,442
TEC-AC-10001714,485
OFF-LA-10004272,478
TEC-AC-10002049,423
OFF-BI-10003984,480
FUR-FU-10001424,124
TEC-AC-10000927,418
OFF-LA-10001045,300
OFF-BI-10001510,466
OFF-PA-10002947,276
FUR-BO-10003441,272
OFF-BI-10003684,445
OFF-ST-10003816,388
TEC-AC-10002473,499
OFF-AP-10004487,404
TEC-AC-10004353,238
OFF-PA-10002195,142
OFF-BI-10004826,358
OFF-ST-10001496,156
FUR-TA-10002356,499
FUR-TA-10004154,114
FUR-FU-10001940,246
OFF-PA-10002333,432
FUR-FU-10004188,274
OFF-BI-10000145,283
OFF-LA-10001613,109
OFF-PA-10001281,473
FUR-FU-10001095,236
OFF-BI-10002012,135
OFF-PA-10004156,327
TEC-PH-10000560,423
OFF-EN-10000461,298
TEC-MA-10003066,209
OFF-BI-10004022,479
OFF-BI-10003925,195
FUR-FU-10002885,425
OFF-BI-10002049,258
OFF-ST-10003722,493
TEC-PH-10004188,411
OFF-ST-10001526,197
FUR-CH-10000309,121
TEC-MA-10004212,170
OFF-PA-10001166,457
TEC-PH-10003885,168
OFF-PA-10000955,410
FUR-FU-10003975,182
OFF-BI-10003707,158
OFF-AR-10000203,385
OFF-AR-10004790,253
FUR-BO-10001811,337
OFF-AR-10001130,280
OFF-AR-10000716,417
FUR-FU-10004622,479
OFF-FA-10001754,226
TEC-PH-10002115,157
OFF-BI-10003669,416
OFF-BI-10003727,292
TEC-AC-10003447,456
OFF-AP-10002191,101
OFF-PA-10000349,419
FUR-CH-10002880,296
OFF-PA-10003127,381
OFF-LA-10000452,141
OFF-PA-10000605,441
FUR-TA-10004147,353
OFF-AR-10001545,140
OFF-FA-10003495,305
OFF-PA-10004735,383
FUR-BO-10002206,180
TEC-PH-10001061,199
OFF-EN-10001539,384
FUR-TA-10004086,478
OFF-PA-10000100,182
OFF-PA-10001763,209
OFF-FA-10000735,269
TEC-PH-10000307,139
FUR-FU-10001852,323
FUR-TA-10001932,291
FUR-CH-10002126,180
TEC-PH-10004700,299
OFF-BI-10003429,281
FUR-FU-10004952,357
OFF-ST-10002352,301
OFF-BI-10002976,242
OFF-BI-10003694,495
TEC-PH-10004539,135
TEC-PH-10003655,455
OFF-ST-10002344,435
TEC-PH-10004447,268
FUR-CH-10003973,108
FUR-CH-10004540,473
OFF-ST-10002292,278
FUR-FU-10001867,445
TEC-PH-10002200,408
TEC-PH-10000439,265
OFF-ST-10000676,226
OFF-AR-10001022,460
OFF-EN-10003055,194
OFF-AR-10003903,376
TEC-PH-10003442,185
OFF-BI-10004519,215
OFF-EN-10004955,357
FUR-TA-10004619,126
OFF-AR-10002280,434
TEC-PH-10004165,307
FUR-FU-10003535,343
TEC-PH-10004586,292
OFF-BI-10004236,221
OFF-PA-10002870,116
TEC-AC-10000580,493
TEC-AC-10004209,102
TEC-AC-10000023,314
OFF-BI-10002026,474
OFF-BI-10004970,242
FUR-BO-10003433,244
FUR-FU-10002554,498
OFF-LA-10001404,265
OFF-LA-10001474,209
OFF-AP-10004859,456
OFF-BI-10004139,279
OFF-AR-10002818,375
OFF-ST-10002574,161
FUR-FU-10004018,153
OFF-BI-10001758,480
OFF-ST-10000649,439
OFF-PA-10004041,419
OFF-BI-10000042,224
FUR-TA-10003008,403
OFF-AP-10003590,440
OFF-PA-10000806,301
OFF-FA-10000053,371
OFF-EN-10003001,461
FUR-TA-10002622,103
OFF-AR-10002240,214
OFF-BI-10002867,129
FUR-FU-10003976,253
TEC-PH-10002922,344
OFF-PA-10000501,420
OFF-AP-10004980,332
OFF-BI-10001191,244
OFF-PA-10003673,223
OFF-BI-10004352,126
TEC-MA-10000010,255
FUR-TA-10002530,259
OFF-BI-10001765,300
FUR-CH-10000847,286
OFF-AR-10003770,389
OFF-PA-10002262,154
OFF-PA-10000130,271
TEC-AC-10000865,375
TEC-PH-10003580,332
OFF-PA-10001838,477
FUR-TA-10003715,104
OFF-BI-10004965,473
OFF-AR-10001419,271
OFF-AR-10002221,355
OFF-ST-10000344,162
OFF-ST-10003324,307
OFF-ST-10000419,256
OFF-AP-10001626,149
FUR-FU-10003981,488
OFF-AP-10004868,490
OFF-LA-10002195,446
OFF-EN-10003134,120
OFF-AR-10001955,205
OFF-LA-10001641,222
OFF-BI-10000088,176
OFF-AR-10003504,397
OFF-AP-10004336,380
OFF-PA-10001357,404
OFF-AR-10001221,127
OFF-PA-10004519,176
FUR-FU-10001488,161
OFF-AR-10001044,356
OFF-AR-10004456,388
